time	intensity
17.204	2890.066895
17.221	2726.951172
17.237	2519.817139
17.254	2411.429932
17.27	2424.678955
17.287	2413.477783
17.303	2332.345215
17.32	2266.671875
17.337	2311.325684
17.353	2491.767822
17.37	2742.151855
17.386	3096.479736
17.403	3754.301758
17.42	4812.336426
17.436	6146.470703
17.453	7627.771973
17.469	9078.370117
17.486	9984.515625
17.503	9976.154297
17.519	9235.456055
17.536	8020.104492
17.552	6496.556152
17.569	4988.479492
17.585	3836.247314
17.602	3237.240479
17.619	3206.88501
17.635	3839.080322
17.652	5422.605469
17.668	8100.696289
17.685	11671.73242
17.702	15618.28027
17.718	19116.41797
17.735	21165.07227
17.751	21164.52539
17.768	19251.94922
17.784	16100.79199
17.801	12482.90723
17.818	8989.701172
17.834	6087.960938
17.851	4100.432129
17.867	2987.68457
17.884	2539.321045
17.901	2581.756836
17.917	2859.913818
17.934	3176.993896
17.95	3614.625488
17.967	4458.295898
17.984	5889.525879
18	7731.104004
18.017	9590.699219
18.033	10895.86816
18.05	10975.24609
18.066	9854.736328
18.083	8227.277344
18.1	6535.603027
18.116	5015.54834
18.133	3924.055908
18.149	3288.906982
18.166	3007.056885
18.183	3212.713379
18.199	4145.800781
18.216	5868.697266
18.232	8375.765625
18.249	11603.56055
18.266	15179.55957
18.282	18345.14258
18.299	20095.70898
18.315	19755.78711
18.332	17486.5293
18.348	14094.55273
18.365	10558.22168
18.382	7538.934082
18.398	5285.708496
18.415	3856.663818
18.431	3108.465576
18.448	2765.692871
18.465	2663.266113
18.481	2715.604492
18.498	2861.220459
18.514	3238.432373
18.531	4114.177246
18.548	5469.512207
18.564	7015.141113
18.581	8618.927734
18.597	9955.910156
18.614	10375.65039
18.63	9722.28125
18.647	8381.832031
18.664	6796.848145
18.68	5303.151367
18.697	4081.04834
18.713	3292.505859
18.73	2982.710205
18.747	3138.51709
18.763	3977.921875
18.78	5853.775391
18.796	8769.474609
18.813	12244.19922
18.829	15754.18066
18.846	18655.09375
18.863	19872.77734
18.879	18877.64844
18.896	16268.10156
18.912	13004.65332
18.929	9755.757813
18.946	6925.233398
18.962	4853.754395
18.979	3642.979492
18.995	3069.297607
19.012	2811.704102
19.029	2664.930664
19.045	2680.175537
19.062	2925.216309
19.078	3416.749023
19.095	4318.516113
19.111	5687.615723
19.128	7325.375
19.145	8915.952148
19.161	10019.32422
19.178	10232.23633
19.194	9552.154297
19.211	8365.925781
19.228	6995.682129
19.244	5574.826172
19.261	4336.303223
19.277	3531.121826
19.294	3222.773438
19.311	3357.552979
19.327	4058.625977
19.344	5708.888184
19.36	8382.120117
19.377	11439.13965
19.393	14296.66309
19.41	16651.73047
19.427	17783.16016
19.443	17107.59961
19.46	14960.71777
19.476	12192.45313
19.493	9487.029297
19.51	7143.73877
19.526	5238.403809
19.543	3795.862061
19.559	2893.932129
19.576	2519.286133
19.592	2503.766357
19.609	2730.722656
19.626	3141.627441
19.642	3647.794434
19.659	4281.839844
19.675	5233.970215
19.692	6589.621582
19.709	8148.844238
19.725	9484.733398
19.742	10164.07422
19.758	9955.411133
19.775	8975.50293
19.792	7572.591309
19.808	6127.910156
19.825	4907.486328
19.841	4066.255371
19.858	3710.093994
19.874	3805.182373
19.891	4267.612793
19.908	5297.266602
19.924	7268.462402
19.941	10172.36914
19.957	13358.24512
19.974	16077.19922
19.991	17869.38281
20.007	18178.15234
20.024	16659.48633
20.04	13846.26465
20.057	10667.97949
20.074	7707.273438
20.09	5281.08252
20.107	3643.121582
20.123	2801.292725
20.14	2479.841797
20.156	2388.308105
20.173	2397.301025
20.19	2567.768066
20.206	3067.016602
20.223	3966.601318
20.239	5228.162598
20.256	6820.708008
20.273	8582.431641
20.289	10029.50586
20.306	10617.56445
20.322	10159.18164
20.339	8869.029297
20.355	7213.137207
20.372	5716.025391
20.389	4572.851563
20.405	3728.596191
20.422	3246.897461
20.438	3306.932617
20.455	3997.525146
20.472	5303.381836
20.488	7151.470703
20.505	9401.405273
20.521	11869.86719
20.538	14146.96777
20.555	15573.16602
20.571	15807.12402
20.588	14793.24121
